frequency,raw
10.145, 1.950
10.293, 1.950
10.443, 1.950
10.595, 1.950
10.749, 1.950
10.905, 1.950
11.064, 1.950
11.225, 1.950
11.388, 1.950
11.554, 1.950
11.722, 1.950
11.892, 1.950
12.065, 1.950
12.241, 1.950
12.419, 1.950
12.599, 1.950
12.782, 1.950
12.968, 1.950
13.157, 1.950
13.348, 1.950
13.543, 1.950
13.740, 1.950
13.939, 1.950
14.142, 1.950
14.348, 1.950
14.557, 1.950
14.768, 1.950
14.983, 1.950
15.201, 1.950
15.422, 1.950
15.646, 1.950
15.874, 1.950
16.105, 1.950
16.339, 1.950
16.577, 1.950
16.818, 1.950
17.063, 1.950
17.311, 1.950
17.563, 1.950
17.818, 1.950
18.077, 1.950
18.340, 1.950
18.607, 1.950
18.877, 1.950
19.152, 1.950
19.431, 1.950
19.713, 1.950
20.000, 1.950
20.291, 1.950
20.586, 1.950
20.885, 1.950
21.189, 1.950
21.497, 1.950
21.810, 1.950
22.127, 1.950
22.449, 1.950
22.776, 1.950
23.107, 1.950
23.443, 1.950
23.784, 1.950
24.130, 1.950
24.481, 1.950
24.837, 1.950
25.198, 1.950
25.565, 1.950
25.937, 1.950
26.314, 1.950
26.697, 1.950
27.085, 1.950
27.479, 1.950
27.879, 1.950
28.284, 1.950
28.696, 1.950
29.113, 1.950
29.537, 1.950
29.966, 1.950
30.402, 1.950
30.844, 1.950
31.293, 1.950
31.748, 1.950
32.210, 1.950
32.678, 1.950
33.154, 1.950
33.636, 1.950
34.125, 1.950
34.621, 1.950
35.125, 1.950
35.636, 1.950
36.154, 1.950
36.680, 1.950
37.214, 1.950
37.755, 1.950
38.304, 1.950
38.861, 1.950
39.427, 1.950
40.000, 1.950
40.582, 1.950
41.172, 1.950
41.771, 1.950
42.379, 1.950
42.995, 1.950
43.620, 1.950
44.255, 1.950
44.898, 1.950
45.552, 1.950
46.214, 1.950
46.886, 1.950
47.568, 1.950
48.260, 1.950
48.962, 1.950
49.674, 1.950
50.397, 1.950
51.130, 1.950
51.874, 1.950
52.628, 1.950
53.394, 1.950
54.170, 1.950
54.958, 1.950
55.758, 1.950
56.569, 1.950
57.391, 1.950
58.226, 1.950
59.073, 1.950
59.932, 1.950
60.804, 1.950
61.688, 1.950
62.586, 1.950
63.496, 1.950
64.420, 1.950
65.357, 1.950
66.307, 1.950
67.272, 1.950
68.250, 1.950
69.243, 1.950
70.250, 1.950
71.272, 1.950
72.309, 1.950
73.360, 1.950
74.427, 1.950
75.510, 1.950
76.608, 1.950
77.723, 1.950
78.853, 1.950
80.000, 1.950
81.164, 1.950
82.344, 1.950
83.542, 1.950
84.757, 1.950
85.990, 1.950
87.241, 1.950
88.510, 1.950
89.797, 1.950
91.103, 1.950
92.428, 1.950
93.773, 1.950
95.137, 1.950
96.520, 1.950
97.924, 1.950
99.349, 1.950
100.794, 1.950
102.260, 1.950
103.747, 1.950
105.256, 1.950
106.787, 1.950
108.340, 1.950
109.916, 1.950
111.515, 1.950
113.137, 1.950
114.783, 1.950
116.452, 1.950
118.146, 1.950
119.865, 1.950
121.608, 1.950
123.377, 1.950
125.171, 1.950
126.992, 1.950
128.839, 1.950
130.713, 1.950
132.615, 1.950
134.543, 1.950
136.500, 1.950
138.486, 1.950
140.500, 1.950
142.544, 1.950
144.617, 1.950
146.721, 1.950
148.855, 1.950
151.020, 1.950
153.217, 1.950
155.445, 1.950
157.706, 1.950
160.000, 1.950
162.327, 1.950
164.688, 1.950
167.084, 1.950
169.514, 1.950
171.980, 1.950
174.481, 1.950
177.019, 1.950
179.594, 1.950
182.206, 1.950
184.856, 1.950
187.545, 1.950
190.273, 1.950
193.041, 1.950
195.849, 1.950
198.697, 1.950
201.587, 1.950
204.520, 1.950
207.494, 1.950
210.512, 1.950
213.574, 1.950
216.681, 1.950
219.833, 1.950
223.030, 1.950
226.274, 1.950
229.565, 1.950
232.905, 1.950
236.292, 1.950
239.729, 1.950
243.216, 1.950
246.754, 1.950
250.343, 1.950
253.984, 1.950
257.678, 1.950
261.426, 1.950
265.229, 1.950
269.087, 1.950
273.001, 1.950
276.972, 1.950
281.000, 1.950
285.088, 1.950
289.234, 1.950
293.441, 1.950
297.710, 1.950
302.040, 1.950
306.433, 1.950
310.890, 1.950
315.412, 1.950
320.000, 1.950
324.655, 1.950
329.377, 1.950
334.168, 1.950
339.028, 1.950
343.959, 1.950
348.962, 1.950
354.038, 1.950
359.188, 1.950
364.412, 1.950
369.713, 1.950
375.090, 1.950
380.546, 1.950
386.081, 1.950
391.697, 1.950
397.395, 1.950
403.175, 1.950
409.039, 1.950
414.989, 1.950
421.025, 1.950
427.149, 1.950
433.362, 1.950
439.665, 1.950
446.060, 1.950
452.548, 1.950
459.131, 1.950
465.809, 1.950
472.584, 1.950
479.458, 1.950
486.432, 1.950
493.507, 1.950
500.686, 1.950
507.968, 1.950
515.357, 1.950
522.853, 1.950
530.458, 1.950
538.174, 1.950
546.002, 1.950
553.943, 1.950
562.001, 1.950
570.175, 1.950
578.469, 1.950
586.883, 1.950
595.419, 1.950
604.080, 1.950
612.866, 1.950
621.780, 1.950
630.824, 1.950
640.000, 1.950
649.309, 1.950
658.753, 1.950
668.335, 1.950
678.056, 1.950
687.919, 1.950
697.925, 1.950
708.076, 1.950
718.376, 1.950
728.825, 1.950
739.426, 1.950
750.181, 1.950
761.093, 1.950
772.163, 1.950
783.394, 1.950
794.789, 1.950
806.349, 1.950
818.078, 1.950
829.977, 1.950
842.050, 1.950
854.297, 1.950
866.724, 1.950
879.330, 1.950
892.120, 1.950
905.097, 1.952
918.262, 1.954
931.618, 1.958
945.169, 1.965
958.917, 1.979
972.864, 1.999
987.015, 2.024
1001.371, 2.048
1015.937, 2.073
1030.714, 2.100
1045.706, 2.128
1060.916, 2.160
1076.347, 2.199
1092.003, 2.241
1107.887, 2.290
1124.001, 2.340
1140.350, 2.391
1156.937, 2.442
1173.765, 2.496
1190.838, 2.564
1208.159, 2.640
1225.732, 2.719
1243.561, 2.799
1261.649, 2.880
1280.000, 2.968
1298.618, 3.061
1317.507, 3.155
1336.670, 3.250
1356.113, 3.347
1375.838, 3.451
1395.850, 3.564
1416.153, 3.681
1436.751, 3.800
1457.649, 3.920
1478.851, 4.041
1500.362, 4.163
1522.185, 4.287
1544.326, 4.413
1566.789, 4.551
1589.578, 4.692
1612.699, 4.834
1636.156, 4.979
1659.955, 5.128
1684.099, 5.280
1708.595, 5.434
1733.447, 5.594
1758.661, 5.761
1784.241, 5.933
1810.193, 6.109
1836.523, 6.288
1863.236, 6.468
1890.338, 6.651
1917.833, 6.841
1945.729, 7.035
1974.030, 7.245
2002.743, 7.430
2031.873, 7.596
2061.428, 7.759
2091.412, 7.920
2121.832, 8.083
2152.695, 8.242
2184.007, 8.392
2215.774, 8.536
2248.003, 8.679
2280.701, 8.826
2313.874, 8.976
2347.530, 9.123
2381.676, 9.262
2416.318, 9.397
2451.464, 9.523
2487.122, 9.629
2523.298, 9.708
2560.000, 9.781
2597.236, 9.854
2635.014, 9.953
2673.341, 10.045
2712.226, 10.118
2751.676, 10.177
2791.700, 10.234
2832.306, 10.292
2873.503, 10.350
2915.299, 10.410
2957.703, 10.472
3000.724, 10.534
3044.370, 10.593
3088.652, 10.655
3133.577, 10.708
3179.156, 10.742
3225.398, 10.774
3272.312, 10.805
3319.909, 10.825
3368.198, 10.838
3417.190, 10.846
3466.894, 10.850
3517.321, 10.855
3568.482, 10.849
3620.387, 10.828
3673.046, 10.798
3726.472, 10.762
3780.675, 10.711
3835.666, 10.652
3891.457, 10.586
3948.060, 10.514
4005.486, 10.433
4063.747, 10.342
4122.855, 10.247
4182.824, 10.147
4243.664, 10.040
4305.390, 9.929
4368.013, 9.814
4431.547, 9.691
4496.005, 9.563
4561.401, 9.431
4627.749, 9.291
4695.061, 9.148
4763.352, 9.005
4832.637, 8.877
4902.929, 8.752
4974.244, 8.621
5046.596, 8.483
5120.000, 8.351
5194.472, 8.228
5270.027, 8.110
5346.682, 7.998
5424.451, 7.896
5503.352, 7.805
5583.399, 7.716
5664.612, 7.626
5747.006, 7.536
5830.598, 7.447
5915.406, 7.361
6001.447, 7.275
6088.740, 7.175
6177.303, 7.052
6267.154, 6.933
6358.312, 6.828
6450.796, 6.723
6544.625, 6.614
6639.818, 6.502
6736.397, 6.390
6834.380, 6.264
6933.789, 6.120
7034.643, 5.973
7136.964, 5.826
7240.773, 5.680
7346.093, 5.532
7452.944, 5.380
7561.350, 5.225
7671.332, 5.071
7782.915, 4.923
7896.120, 4.773
8010.971, 4.621
8127.493, 4.455
8245.711, 4.281
8365.647, 4.103
8487.328, 3.926
8610.779, 3.747
8736.026, 3.569
8863.095, 3.379
8992.011, 3.172
9122.803, 2.979
9255.497, 2.798
9390.121, 2.603
9526.704, 2.385
9665.273, 2.139
9805.857, 1.890
9948.487, 1.644
10093.191, 1.401
10240.000, 1.172
10388.944, 0.909
10540.055, 0.696
10693.363, 0.462
10848.902, 0.129
11006.703, -0.228
11166.799, -0.537
11329.224, -0.842
11494.012, -1.198
11661.195, -1.562
11830.812, -1.894
12002.895, -2.214
12177.480, -2.524
12354.606, -2.835
12534.309, -3.170
12716.624, -3.519
12901.592, -3.867
13089.250, -4.139
13279.637, -4.338
13472.794, -4.522
13668.760, -4.700
13867.577, -4.877
14069.285, -5.040
14273.928, -5.194
14481.547, -5.349
14692.186, -5.499
14905.889, -5.621
15122.700, -5.729
15342.664, -5.834
15565.829, -5.965
15792.239, -6.128
16021.942, -6.298
16254.986, -6.477
16491.422, -6.719
16731.295, -7.024
16974.656, -7.329
17221.559, -7.678
17472.053, -8.131
17726.189, -8.853
17984.021, -9.512
18245.605, -10.244
18510.994, -11.096
18780.242, -12.234
19053.408, -13.382
19330.547, -14.482
19611.715, -16.288
19896.975, -17.940
